Country,Date,Exchange Rate ($)
Brazil,REF_AREA,BR
Brazil,2001-03,88.83
Brazil,2001-04,85.39
Brazil,2001-05,82.16
Brazil,2001-06,79.68
Brazil,2001-07,76.97
Brazil,2001-08,74.48
Brazil,2001-09,69.92
Brazil,2001-10,68.34
Brazil,2001-11,73.73
Brazil,2001-12,79.52
Brazil,2002-01,79.7
Brazil,2002-02,83.17
Brazil,2002-03,86.78
Brazil,2002-04,88.66
Brazil,2002-05,82.76
Brazil,2002-06,75.24
Brazil,2002-07,68.82
Brazil,2002-08,64.87
Brazil,2002-09,61.01
Brazil,2002-10,53.54
Brazil,2002-11,56.11
Brazil,2002-12,54.97
Brazil,2003-01,57.03
Brazil,2003-02,54.4
Brazil,2003-03,56.25
Brazil,2003-04,61.72
Brazil,2003-05,63.61
Brazil,2003-06,64.99
Brazil,2003-07,65.69
Brazil,2003-08,63.63
Brazil,2003-09,64.98
Brazil,2003-10,65.12
Brazil,2003-11,64.0
Brazil,2003-12,62.75
Brazil,2004-01,63.47
Brazil,2004-02,61.77
Brazil,2004-03,62.94
Brazil,2004-04,63.33
Brazil,2004-05,60.1
Brazil,2004-06,58.88
Brazil,2004-07,60.34
Brazil,2004-08,61.35
Brazil,2004-09,63.6
Brazil,2004-10,63.86
Brazil,2004-11,64.0
Brazil,2004-12,64.8
Brazil,2005-01,65.72
Brazil,2005-02,68.13
Brazil,2005-03,65.2
Brazil,2005-04,68.88
Brazil,2005-05,72.78
Brazil,2005-06,74.88
Brazil,2005-07,76.58
Brazil,2005-08,76.17
Brazil,2005-09,78.3
Brazil,2005-10,80.66
Brazil,2005-11,82.96
Brazil,2005-12,80.24
Brazil,2006-01,79.73
Brazil,2006-02,84.22
Brazil,2006-03,84.48
Brazil,2006-04,84.73
Brazil,2006-05,81.67
Brazil,2006-06,79.65
Brazil,2006-07,81.85
Brazil,2006-08,82.64
Brazil,2006-09,82.53
Brazil,2006-10,83.4
Brazil,2006-11,82.41
Brazil,2006-12,81.63
Brazil,2007-01,82.68
Brazil,2007-02,84.41
Brazil,2007-03,84.15
Brazil,2007-04,85.71
Brazil,2007-05,87.57
Brazil,2007-06,90.03
Brazil,2007-07,91.67
Brazil,2007-08,88.3
Brazil,2007-09,90.23
Brazil,2007-10,94.12
Brazil,2007-11,94.92
Brazil,2007-12,94.04
Brazil,2008-01,94.05
Brazil,2008-02,96.05
Brazil,2008-03,95.66
Brazil,2008-04,96.0
Brazil,2008-05,98.34
Brazil,2008-06,100.54
Brazil,2008-07,101.56
Brazil,2008-08,102.52
Brazil,2008-09,94.3
Brazil,2008-10,80.81
Brazil,2008-11,79.6
Brazil,2008-12,74.6
Brazil,2009-01,77.96
Brazil,2009-02,79.21
Brazil,2009-03,79.67
Brazil,2009-04,82.24
Brazil,2009-05,86.26
Brazil,2009-06,90.54
Brazil,2009-07,91.36
Brazil,2009-08,95.16
Brazil,2009-09,95.55
Brazil,2009-10,99.05
Brazil,2009-11,99.16
Brazil,2009-12,98.52
Brazil,2010-01,97.27
Brazil,2010-02,95.27
Brazil,2010-03,98.23
Brazil,2010-04,99.95
Brazil,2010-05,99.36
Brazil,2010-06,100.51
Brazil,2010-07,100.91
Brazil,2010-08,100.69
Brazil,2010-09,102.24
Brazil,2010-10,102.02
Brazil,2010-11,100.74
Brazil,2010-12,102.81
Brazil,2011-01,103.24
Brazil,2011-02,103.03
Brazil,2011-03,102.79
Brazil,2011-04,106.27
Brazil,2011-05,104.42
Brazil,2011-06,105.91
Brazil,2011-07,107.34
Brazil,2011-08,105.36
Brazil,2011-09,98.72
Brazil,2011-10,97.43
Brazil,2011-11,97.32
Brazil,2011-12,95.69
Brazil,2012-01,98.28
Brazil,2012-02,101.02
Brazil,2012-03,97.16
Brazil,2012-04,94.2
Brazil,2012-05,89.32
Brazil,2012-06,87.4
Brazil,2012-07,88.51
Brazil,2012-08,88.05
Brazil,2012-09,87.13
Brazil,2012-10,86.76
Brazil,2012-11,85.66
Brazil,2012-12,84.77
Brazil,2013-01,86.69
Brazil,2013-02,89.66
Brazil,2013-03,90.22
Brazil,2013-04,89.36
Brazil,2013-05,88.25
Brazil,2013-06,83.06
Brazil,2013-07,80.55
Brazil,2013-08,77.34
Brazil,2013-09,79.74
Brazil,2013-10,82.17
Brazil,2013-11,79.14
Brazil,2013-12,77.65
Brazil,2014-01,77.57
Brazil,2014-02,78.32
Brazil,2014-03,80.24
Brazil,2014-04,83.57
Brazil,2014-05,84.0
Brazil,2014-06,83.77
Brazil,2014-07,84.19
Brazil,2014-08,83.16
Brazil,2014-09,81.99
Brazil,2014-10,78.88
Brazil,2014-11,76.56
Brazil,2014-12,75.14
Brazil,2015-01,76.56
Brazil,2015-02,72.31
Brazil,2015-03,65.9
Brazil,2015-04,67.57
Brazil,2015-05,66.89
Brazil,2015-06,65.95
Brazil,2015-07,64.53
Brazil,2015-08,59.86
Brazil,2015-09,54.2
Brazil,2015-10,54.1
Brazil,2015-11,56.45
Brazil,2015-12,55.98
Brazil,2016-01,55.19
Brazil,2016-02,56.42
Brazil,2016-03,59.82
Brazil,2016-04,61.32
Brazil,2016-05,62.02
Brazil,2016-06,64.01
Brazil,2016-07,67.77
Brazil,2016-08,68.68
Brazil,2016-09,68.12
Brazil,2016-10,70.05
Brazil,2016-11,67.99
Brazil,2016-12,68.74
Brazil,2017-01,71.93
Brazil,2017-02,73.39
Brazil,2017-03,72.67
Brazil,2017-04,72.11
Brazil,2017-05,70.21
Brazil,2017-06,67.95
Brazil,2017-07,69.55
Brazil,2017-08,70.18
Brazil,2017-09,70.03
Brazil,2017-10,69.47
Brazil,2017-11,68.08
Brazil,2017-12,67.13
Brazil,2018-01,68.04
Brazil,2018-02,67.0
Brazil,2018-03,66.55
Brazil,2018-04,64.22
Brazil,2018-05,62.23
Brazil,2018-06,61.08
Brazil,2018-07,60.91
Brazil,2018-08,60.36
Brazil,2018-09,58.92
Brazil,2018-10,64.7
Brazil,2018-11,64.59
Brazil,2018-12,62.93
Brazil,2019-01,64.71
Brazil,2019-02,65.23
Brazil,2019-03,63.72
Brazil,2019-04,63.17
Brazil,2019-05,62.27
Brazil,2019-06,64.23
Brazil,2019-07,65.33
Brazil,2019-08,63.51
Brazil,2019-09,62.58
Brazil,2019-10,62.98
Brazil,2019-11,62.01
Brazil,2019-12,62.52
Brazil,2020-01,61.8
Brazil,2020-02,59.7
Brazil,2020-03,53.91
Brazil,2020-04,50.33
Brazil,2020-05,47.36
Brazil,2020-06,50.82
Brazil,2020-07,49.62
Brazil,2020-08,47.77
Brazil,2020-09,48.1
Brazil,2020-10,46.2
Brazil,2020-11,47.42
Brazil,2020-12,49.47
Brazil,2021-01,47.72
Brazil,2021-02,47.37
Brazil,2021-03,45.92
Brazil,2021-04,46.58
Brazil,2021-05,48.56
Brazil,2021-06,51.36
Brazil,2021-07,50.76
Brazil,2021-08,49.94
Brazil,2021-09,49.89
Brazil,2021-10,47.74
Brazil,2021-11,47.86
Brazil,2021-12,47.4
Brazil,2022-01,48.32
Brazil,2022-02,51.59
Brazil,2022-03,54.65
Brazil,2022-04,57.98
Brazil,2022-05,56.6
Brazil,2022-06,56.05
Brazil,2022-07,53.71
Brazil,2022-08,56.43
Brazil,2022-09,56.95
Brazil,2022-10,57.73
Germany,REF_AREA,DE
Germany,1994-01,82.84
Germany,1994-02,83.13
Germany,1994-03,84.77
Germany,1994-04,85.15
Germany,1994-05,86.31
Germany,1994-06,87.18
Germany,1994-07,88.51
Germany,1994-08,88.95
Germany,1994-09,89.08
Germany,1994-10,89.88
Germany,1994-11,89.74
Germany,1994-12,89.62
Germany,1995-01,91.12
Germany,1995-02,92.34
Germany,1995-03,96.01
Germany,1995-04,96.29
Germany,1995-05,95.1
Germany,1995-06,95.07
Germany,1995-07,95.4
Germany,1995-08,93.95
Germany,1995-09,93.96
Germany,1995-10,95.72
Germany,1995-11,95.67
Germany,1995-12,95.09
Germany,1996-01,94.64
Germany,1996-02,94.74
Germany,1996-03,94.33
Germany,1996-04,93.48
Germany,1996-05,92.7
Germany,1996-06,93.03
Germany,1996-07,93.77
Germany,1996-08,94.56
Germany,1996-09,93.91
Germany,1996-10,93.28
Germany,1996-11,93.66
Germany,1996-12,92.82
Germany,1997-01,91.91
Germany,1997-02,91.13
