Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554000000,666000000,726000000,786000000,782000000,850000000,825000000,835000000,858099975.6,1057000000,1097000000,1064099976,1213400024,1352000000,1223000000,1254000000,1358000000,1412000000,1506000000,1625000000,1659000000,1757000000,1855000000,2035000000,2109000000,1077000000,
Africa Eastern and Southern,AFE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6234141611,6965505052,7622321613,7792159848,8034209108,7035528873,7489514346,8266443184,12204601548,14437267235,16105273905,18031562938,20973170451,20408316343,19179935926,22022165207,24202048004,26393212256,26053231119,27220802346,25119401605,24305252594,26552526185,28672643620,27810935914,,
Afghanistan,AFG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57000000,89000000,147000000,165000000,167000000,179000000,121000000,86000000,62000000,16000000,50000000,85000000,75000000,
Africa Western and Central,AFW,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927778426.2,998165500.1,984504076.3,1318411826,1443612847,1475215373,1629462885,1840559322,2094376181,2158285284,2740615084,3074292754,4003336033,4900188000,4254369558,4034222723,4564552103,4741440190,5072423448,5059666955,4341562037,5481752264,7387315888,7230774394,,,
Angola,AGO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,38000000,24000000,39000000,31000000,34000000,35000000,51000000,63000000,82000000,103000000,91000000,236000000,293000000,554000000,726000000,653000000,711000000,1241000000,1597000000,1171000000,628000000,884000000,557000000,395000000,19000000,
Albania,ALB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000,94000000,34000000,60000000,218000000,398000000,451000000,492000000,537000000,756000000,880000000,1057000000,1479000000,1850000000,2013000000,1778000000,1833000000,1623000000,1670000000,1849000000,1613000000,1821000000,2050000000,2306000000,2458000000,1243000000,
Andorra,AND,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910000000,,
Arab World,ARB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29586477672,34671162031,40184504882,46282122295,55384830967,61950764464,62406375267,72002050459,63688193204,70933565986,69505430690,78173558300,89547572197,93401986638,1.07576E+11,1.19513E+11,1.31923E+11,,
United Arab Emirates,ARE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632000000,743000000,814000000,859000000,893000000,1063000000,1200000000,1332000000,1438000000,1593000000,3218000000,4972000000,6072000000,7162000000,7352000000,8577000000,9204000000,10924000000,12389000000,15221000000,25587099609,28657400391,29705500000,34609500000,38413300781,24615400391,
Argentina,ARG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550000000,2975000000,3153000000,3353000000,3175000000,3195000000,2756000000,1716000000,2306000000,2660000000,3209000000,3926000000,5030000000,5273000000,4455000000,5605000000,6058000000,5665000000,5199000000,5645000000,5441000000,5466000000,5830000000,5999000000,5654000000,1702000000,
Armenia,ARM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000000,18000000,33000000,41000000,47000000,52000000,81000000,81000000,90000000,189000000,243000000,406000000,522000000,564000000,570000000,694000000,762000000,853000000,905000000,994000000,956000000,1037000000,1224000000,1358000000,1553000000,303000000,
American Samoa,ASM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,22000000,,,,
Antigua and Barbuda,ATG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803000000,802000000,844000000,820000000,854000000,992000000,416000000,
Australia,AUS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10370000000,11882000000,11735000000,10169000000,11408000000,11594000000,11333000000,12148000000,14981000000,18032000000,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,35736000000,36249000000,39059000000,43975000000,47327000000,47953000000,26234000000,
Austria,AUT,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14529000000,13980000000,12275000000,12694000000,12358000000,11382000000,11511000000,12334000000,15128000000,17251000000,18471000000,,,,,,,,,,20422000000,20965000000,22424000000,25413000000,25924000000,15362000000,
Azerbaijan,AZE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87000000,57000000,176000000,143000000,93000000,68000000,57000000,63000000,70000000,79000000,100000000,201000000,317000000,382000000,545000000,792000000,1500000000,2634000000,2618000000,2713000000,2535000000,2855000000,3214000000,2830000000,2004099976,340000000,
Burundi,BDI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424994.23,2141381.025,1440071.821,1299999.952,1200000.048,1399999.976,899999.9762,1600000.024,1200000.048,1799999.952,1899999.976,1600000.024,2299999.952,1600000.024,1700000.048,2099999.905,3700000.048,,,,,,,,,,
Belgium,BEL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8304000000,7598000000,8848000000,10089000000,10881000000,11625000000,12369000000,,12718000000,12680000000,14114000000,13704000000,14534000000,15249000000,8975000000,8784000000,9636000000,10319000000,10581000000,7447000000,
Benin,BEN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79099998.47,56200000.76,64199996.95,94400001.53,77400001.53,85500000,94500000,107900001.5,120900001.5,107699996.9,121599998.5,206300003.1,236399993.9,131399993.9,149399993.9,201000000,174000000,193000000,153000000,148000000,129000000,160000000,175000000,240860000.6,,
Burkina Faso,BFA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000000,25000000,37000000,38000000,52000000,46000000,55000000,61000000,82000000,99000000,105000000,116000000,128000000,200000000,183000000,152000000,172000000,172000000,179000000,173000000,,
Bangladesh,BGD,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000000,59000000,76000000,82000000,,,,77000000,103000000,97000000,105000000,131000000,154000000,150300003.1,214300003.1,348000000,357000000,391000000,217899993.9,
Bulgaria,BGR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662000000,541000000,517000000,1150000000,1184000000,1364000000,1262000000,1392000000,2051000000,2796000000,3063000000,3317000000,4181000000,4852000000,4273000000,3807000000,4297000000,3975000000,4410000000,4518000000,3568000000,4148000000,4663000000,5061000000,4832000000,1792000000,
Bahrain,BHR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593000000,589000000,578000000,625000000,785000000,854000000,886000000,985000000,1206000000,1504000000,1603000000,1786000000,1854000000,1927000000,1873000000,2163000000,1766000000,1752000000,1875000000,1913000000,2827000000,4021000000,4380000000,3834000000,3860000000,724000000,
"Bahamas, The",BHS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356000000,1409000000,1427000000,1365000000,1598000000,1753000000,1665000000,1773000000,1770000000,1897000000,2081000000,2066000000,2198000000,2155000000,2025000000,2159000000,2157000000,2333000000,2305000000,2336000000,2554000000,3091000000,2951000000,3756000000,4150000000,1007000000,
Bosnia and Herzegovina,BIH,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257000000,258000000,246000000,279000000,307000000,404000000,507000000,557000000,658000000,804000000,913000000,753000000,662000000,722000000,686000000,752000000,755000000,794000000,875000000,984000000,1147000000,1225000000,438000000,
Belarus,BLR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000000,61000000,40000000,54000000,92000000,188000000,272000000,295000000,339000000,362000000,346000000,401000000,479000000,585000000,563000000,665000000,747000000,986000000,1156000000,1230000000,1013000000,1019000000,1124500000,1221000000,1290000000,542000000,
Belize,BLZ,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000000,97000000,101000000,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,448000000,447000000,407000000,370000000,440000000,513000000,583000000,601000000,94000000,
Bolivia,BOL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92000000,100000000,129000000,137000000,124000000,101000000,119000000,143000000,243000000,283000000,345000000,330000000,326000000,302000000,306000000,339000000,499000000,631000000,639000000,746000000,810000000,827000000,928000000,948000000,977000000,243000000,
Brazil,BRA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085000000,744000000,1025000000,1398000000,1718000000,1969000000,1844000000,2142000000,2673000000,3389000000,4168000000,4577000000,5284000000,6109000000,5635000000,5522000000,6370000000,6623000000,6784000000,7405000000,6254000000,6613000000,6175000000,6324000000,6127000000,3099000000,
Barbados,BRB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628000000,665000000,670000000,718000000,734000000,795000000,728000000,695000000,840000000,843000000,905000000,1068000000,1198000000,1203000000,1076000000,1041000000,984000000,947000000,988000000,910000000,974000000,1071000000,,,,,
Brunei Darussalam,BRN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000000,113000000,124000000,181000000,191000000,224000000,233000000,242000000,254000000,,,92000000,96000000,79000000,147000000,144000000,177000000,190000000,,,
Bhutan,BTN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,6000000,6000000,8000000,9000000,10000000,9000000,8000000,8000000,13000000,19000000,36000000,47000000,47000000,51000000,64000000,76000000,93000000,116000000,99000000,120000000,139000000,153000000,121000000,120000000,84000000,
Botswana,BWA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176000000,105000000,141000000,179000000,239000000,227000000,235000000,324000000,459000000,582000000,563000000,540000000,548299987.8,510700012.2,663599975.6,440100006.1,468299987.8,515599975.6,484200012.2,529299987.8,534299987.8,505000000,542010009.8,584200012.2,712400024.4,217000000,
Central African Republic,CAF,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,3000000,2000000,4000000,8000000,5000000,5000000,3000000,4000000,7800000.191,7199999.809,10199999.81,10800000.19,11800000.19,7500000,14399999.62,15000000,15000000,15600000.38,,,,,,,,
Canada,CAN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9176000000,10073000000,10390000000,11049000000,12024000000,13035000000,12680000000,12744000000,12236000000,15135000000,15891000000,16837000000,17962000000,18190000000,15580000000,18440000000,19994000000,,,,,,,,,,
Central Europe and the Baltics,CEB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20282583054,20466141201,20609434979,21170767634,26063762063,30634010118,35382849950,39782540497,49293530837,58870011385,49075172441,46639890593,52759785029,49388847915,52427847627,54406256971,47288934512,51301453985,58829311856,64718122568,65843484714,,
Switzerland,CHE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11354000000,10779000000,10036000000,10188000000,9135000000,9058000000,9392000000,9198000000,10427000000,11217000000,11914000000,12961000000,14934000000,18016000000,17023000000,17883000000,20809000000,19564000000,20236000000,21358000000,20140000000,19787000000,20399000000,21294000000,21257000000,9994000000,
Channel Islands,CHI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
