Year,Country,Ranking World Cup Year,Ranking,Index
-4,Germany,9,5,55.55555556
-3,Germany,9,8,88.88888889
-2,Germany,9,12,133.3333333
-1,Germany,9,11,122.2222222
0,Germany,9,9,100
1,Germany,9,5,55.55555556
2,Germany,9,3,33.33333333
3,Germany,9,5,55.55555556
4,Germany,9,4,44.44444444
