,Date,Sponsor,Value
81,2022-02-07 00:00:00-05:00,Budweiser,1.0379139295214277
82,2022-02-07 00:00:00-05:00,Coca-Cola,-0.3749651508932355
83,2022-02-07 00:00:00-05:00,McDonalds,0.2570035438680884
84,2022-02-08 00:00:00-05:00,Adidas,1.79459749110627
85,2022-02-08 00:00:00-05:00,Budweiser,1.1496918530673377
86,2022-02-08 00:00:00-05:00,Coca-Cola,-0.2179088659303838
87,2022-02-08 00:00:00-05:00,McDonalds,0.274371003960232
88,2022-02-09 00:00:00-05:00,Adidas,1.9157835260871048
89,2022-02-09 00:00:00-05:00,Budweiser,1.1092207918923933
90,2022-02-09 00:00:00-05:00,Coca-Cola,-0.5948424077303245
91,2022-02-09 00:00:00-05:00,McDonalds,0.2577563969308982
92,2022-02-10 00:00:00-05:00,Adidas,1.8207058072318132
93,2022-02-10 00:00:00-05:00,Budweiser,1.4599732054440089
94,2022-02-10 00:00:00-05:00,Coca-Cola,-0.4613434089287229
95,2022-02-10 00:00:00-05:00,McDonalds,0.0319487832140431
96,2022-02-11 00:00:00-05:00,Adidas,1.586906318478407
97,2022-02-11 00:00:00-05:00,Budweiser,1.246052618331106
98,2022-02-11 00:00:00-05:00,Coca-Cola,-0.8893223637440856
99,2022-02-11 00:00:00-05:00,McDonalds,-0.0971932041423132
100,2022-02-14 00:00:00-05:00,Adidas,1.5230007124800624
101,2022-02-14 00:00:00-05:00,Budweiser,1.09765699528595
102,2022-02-14 00:00:00-05:00,Coca-Cola,-0.7361922931414393
103,2022-02-14 00:00:00-05:00,McDonalds,-0.230865269787408
104,2022-02-15 00:00:00-05:00,Adidas,1.683932654484187
105,2022-02-15 00:00:00-05:00,Budweiser,1.249907464638542
106,2022-02-15 00:00:00-05:00,Coca-Cola,-0.6458847365239366
107,2022-02-15 00:00:00-05:00,McDonalds,-0.1991476527233961
108,2022-02-16 00:00:00-05:00,Adidas,1.6827633628980865
109,2022-02-16 00:00:00-05:00,Budweiser,1.564042921006782
110,2022-02-16 00:00:00-05:00,Coca-Cola,-0.6498124929950485
111,2022-02-16 00:00:00-05:00,McDonalds,-0.2535227302739453
112,2022-02-17 00:00:00-05:00,Adidas,1.5284559914307765
113,2022-02-17 00:00:00-05:00,Budweiser,1.3597583361886705
114,2022-02-17 00:00:00-05:00,Coca-Cola,-0.1707942936078806
115,2022-02-17 00:00:00-05:00,McDonalds,-0.416650319273203
116,2022-02-18 00:00:00-05:00,Adidas,1.5085828862993724
117,2022-02-18 00:00:00-05:00,Budweiser,1.3385585372874371
118,2022-02-18 00:00:00-05:00,Coca-Cola,-0.0058840378137115
119,2022-02-18 00:00:00-05:00,McDonalds,-0.441569873469585
120,2022-02-22 00:00:00-05:00,Adidas,1.3519372348993806
121,2022-02-22 00:00:00-05:00,Budweiser,1.0263508752308532
122,2022-02-22 00:00:00-05:00,Coca-Cola,-0.1079717796227427
123,2022-02-22 00:00:00-05:00,McDonalds,-0.2829758972804894
124,2022-02-23 00:00:00-05:00,Adidas,1.2104884320049476
125,2022-02-23 00:00:00-05:00,Budweiser,1.2614705189291175
126,2022-02-23 00:00:00-05:00,Coca-Cola,-0.3788898231425404
127,2022-02-23 00:00:00-05:00,McDonalds,-0.6537860741464177
128,2022-02-24 00:00:00-05:00,Adidas,1.152817733761223
129,2022-02-24 00:00:00-05:00,Budweiser,1.1439106970799848
130,2022-02-24 00:00:00-05:00,Coca-Cola,-0.8029410214867884
131,2022-02-24 00:00:00-05:00,McDonalds,-0.8622250495973218
132,2022-02-25 00:00:00-05:00,Adidas,1.1750285123462716
133,2022-02-25 00:00:00-05:00,Budweiser,1.9167231288700493
134,2022-02-25 00:00:00-05:00,Coca-Cola,0.1158316915745545
135,2022-02-25 00:00:00-05:00,McDonalds,-0.5284201338421803
136,2022-02-28 00:00:00-05:00,Adidas,1.040983302313521
137,2022-02-28 00:00:00-05:00,Budweiser,1.103439635905042
138,2022-02-28 00:00:00-05:00,Coca-Cola,-0.1236750949526727
139,2022-02-28 00:00:00-05:00,McDonalds,-0.7790283062008931
140,2022-03-01 00:00:00-05:00,Adidas,0.8714787791011337
141,2022-03-01 00:00:00-05:00,Budweiser,0.5657475901291106
142,2022-03-01 00:00:00-05:00,Coca-Cola,-0.2296875090110089
143,2022-03-01 00:00:00-05:00,McDonalds,-1.169366713921398
144,2022-03-02 00:00:00-05:00,Adidas,0.9084970466490652
145,2022-03-02 00:00:00-05:00,Budweiser,0.5464748432236617
146,2022-03-02 00:00:00-05:00,Coca-Cola,-0.0490739378869069
147,2022-03-02 00:00:00-05:00,McDonalds,-1.069882895814043
148,2022-03-03 00:00:00-05:00,Adidas,0.7440581396051968
149,2022-03-03 00:00:00-05:00,Budweiser,0.3961521681827215
150,2022-03-03 00:00:00-05:00,Coca-Cola,-0.03336753833517
151,2022-03-03 00:00:00-05:00,McDonalds,-1.3956738733325118
152,2022-03-04 00:00:00-05:00,Adidas,0.4272592652864301
153,2022-03-04 00:00:00-05:00,Budweiser,-0.0451791123294398
154,2022-03-04 00:00:00-05:00,Coca-Cola,0.0058946052669163
155,2022-03-04 00:00:00-05:00,McDonalds,-1.459463737776507
156,2022-03-07 00:00:00-05:00,Adidas,0.1369580666358815
157,2022-03-07 00:00:00-05:00,Budweiser,-0.6079250609981729
158,2022-03-07 00:00:00-05:00,Coca-Cola,-0.5791360081785876
159,2022-03-07 00:00:00-05:00,McDonalds,-2.331271119031717
160,2022-03-08 00:00:00-05:00,Adidas,0.3804994281836527
161,2022-03-08 00:00:00-05:00,Budweiser,-0.4768743905468113
162,2022-03-08 00:00:00-05:00,Coca-Cola,-1.5293230624543075
163,2022-03-08 00:00:00-05:00,McDonalds,-2.4482225420048302
164,2022-03-09 00:00:00-05:00,Adidas,0.9646087905244942
165,2022-03-09 00:00:00-05:00,Budweiser,0.2092125359584057
166,2022-03-09 00:00:00-05:00,Coca-Cola,-1.4115320053153466
167,2022-03-09 00:00:00-05:00,McDonalds,-2.472524733126237
168,2022-03-10 00:00:00-05:00,Adidas,0.7647102670614692
169,2022-03-10 00:00:00-05:00,Budweiser,-0.0143440534492857
170,2022-03-10 00:00:00-05:00,Coca-Cola,-1.835581661548691
171,2022-03-10 00:00:00-05:00,McDonalds,-2.508216330441982
172,2022-03-11 00:00:00-05:00,Adidas,0.771724197140958
173,2022-03-11 00:00:00-05:00,Budweiser,-0.0374701620304354
174,2022-03-11 00:00:00-05:00,Coca-Cola,-1.8198752619969545
175,2022-03-11 00:00:00-05:00,McDonalds,-2.138381681488429
176,2022-03-14 00:00:00-04:00,Adidas,0.8254979643232235
177,2022-03-14 00:00:00-04:00,Budweiser,0.1803045290740358
178,2022-03-14 00:00:00-04:00,Coca-Cola,-1.4004920333574786
179,2022-03-14 00:00:00-04:00,McDonalds,-2.190782139738085
180,2022-03-15 00:00:00-04:00,Adidas,0.8032871857381765
181,2022-03-15 00:00:00-04:00,Budweiser,0.2477572874534359
182,2022-03-15 00:00:00-04:00,Coca-Cola,-0.9731977757832552
183,2022-03-15 00:00:00-04:00,McDonalds,-1.7055135556751082
184,2022-03-16 00:00:00-04:00,Adidas,1.0655326640707707
185,2022-03-16 00:00:00-04:00,Budweiser,0.6871607736539429
186,2022-03-16 00:00:00-04:00,Coca-Cola,-1.0364998862593715
187,2022-03-16 00:00:00-04:00,McDonalds,-1.2825197045400512
188,2022-03-17 00:00:00-04:00,Adidas,1.0928090588243375
189,2022-03-17 00:00:00-04:00,Budweiser,0.6967975182646018
190,2022-03-17 00:00:00-04:00,Coca-Cola,-0.7872438746004694
191,2022-03-17 00:00:00-04:00,McDonalds,-1.3334014967522128
192,2022-03-18 00:00:00-04:00,Adidas,1.1481414771353788
193,2022-03-18 00:00:00-04:00,Budweiser,0.868319249890906
194,2022-03-18 00:00:00-04:00,Coca-Cola,-0.7832868180221947
195,2022-03-18 00:00:00-04:00,McDonalds,-1.2232870163823604
196,2022-03-21 00:00:00-04:00,Adidas,1.0394249544242644
197,2022-03-21 00:00:00-04:00,Budweiser,0.7565405840291258
198,2022-03-21 00:00:00-04:00,Coca-Cola,-0.5933774023720378
199,2022-03-21 00:00:00-04:00,McDonalds,-1.4966751793035584
200,2022-03-22 00:00:00-04:00,Adidas,1.1169684545598737
201,2022-03-22 00:00:00-04:00,Budweiser,0.8008664915115087
202,2022-03-22 00:00:00-04:00,Coca-Cola,-0.5063360366480656
203,2022-03-22 00:00:00-04:00,McDonalds,-1.2840395487513574
204,2022-03-23 00:00:00-04:00,Adidas,0.9447359886326095
205,2022-03-23 00:00:00-04:00,Budweiser,0.5021489357412802
206,2022-03-23 00:00:00-04:00,Coca-Cola,-0.6645936260047067
207,2022-03-23 00:00:00-04:00,McDonalds,-1.4359226469345612
208,2022-03-24 00:00:00-04:00,Adidas,0.9692850471503393
209,2022-03-24 00:00:00-04:00,Budweiser,0.5830918004070373
210,2022-03-24 00:00:00-04:00,Coca-Cola,-0.435119813015391
211,2022-03-24 00:00:00-04:00,McDonalds,-1.1215246101318532
212,2022-03-25 00:00:00-04:00,Adidas,1.0101999425202095
213,2022-03-25 00:00:00-04:00,Budweiser,0.6563257147737888
214,2022-03-25 00:00:00-04:00,Coca-Cola,-0.2175156276499987
215,2022-03-25 00:00:00-04:00,McDonalds,-1.0212808699188454
216,2022-03-28 00:00:00-04:00,Adidas,1.0550114657120178
217,2022-03-28 00:00:00-04:00,Budweiser,0.8124302881179504
218,2022-03-28 00:00:00-04:00,Coca-Cola,-0.0632150948716323
219,2022-03-28 00:00:00-04:00,McDonalds,-0.9180009758046443
220,2022-03-29 00:00:00-04:00,Adidas,1.1828220712296678
221,2022-03-29 00:00:00-04:00,Budweiser,1.103439635905042
222,2022-03-29 00:00:00-04:00,Coca-Cola,0.0317403840088978
223,2022-03-29 00:00:00-04:00,McDonalds,-0.5208268036546897
224,2022-03-30 00:00:00-04:00,Adidas,1.1422968386419905
225,2022-03-30 00:00:00-04:00,Budweiser,1.018641924931846
226,2022-03-30 00:00:00-04:00,Coca-Cola,0.0515210405675752
227,2022-03-30 00:00:00-04:00,McDonalds,-0.455517094999386
228,2022-03-31 00:00:00-04:00,Adidas,1.0012376985297515
229,2022-03-31 00:00:00-04:00,Budweiser,0.7623232246482163
230,2022-03-31 00:00:00-04:00,Coca-Cola,-0.0315632685781193
231,2022-03-31 00:00:00-04:00,McDonalds,-0.5884139222793316
232,2022-04-01 00:00:00-04:00,Adidas,0.9813645933983476
233,2022-04-01 00:00:00-04:00,Budweiser,0.985879814055908
234,2022-04-01 00:00:00-04:00,Coca-Cola,0.3126482219613073
235,2022-04-01 00:00:00-04:00,McDonalds,-0.43880941223928
236,2022-04-04 00:00:00-04:00,Adidas,1.0121482564311786
237,2022-04-04 00:00:00-04:00,Budweiser,1.099584789597602
238,2022-04-04 00:00:00-04:00,Coca-Cola,0.1820838602089896
239,2022-04-04 00:00:00-04:00,McDonalds,-0.6225892099051944
240,2022-04-05 00:00:00-04:00,Adidas,0.9007037910051888
241,2022-04-05 00:00:00-04:00,Budweiser,0.9049362070742816
242,2022-04-05 00:00:00-04:00,Coca-Cola,0.1543906326046605
243,2022-04-05 00:00:00-04:00,McDonalds,-0.4950071246695895
244,2022-04-06 00:00:00-04:00,Adidas,0.7557477198314921
245,2022-04-06 00:00:00-04:00,Budweiser,0.7025794165678233
246,2022-04-06 00:00:00-04:00,Coca-Cola,0.4036451021526565
247,2022-04-06 00:00:00-04:00,McDonalds,-0.2709785534016301
248,2022-04-07 00:00:00-04:00,Adidas,0.8091321274710838
249,2022-04-07 00:00:00-04:00,Budweiser,0.4558959762631145
250,2022-04-07 00:00:00-04:00,Coca-Cola,0.5381649783723513
251,2022-04-07 00:00:00-04:00,McDonalds,-0.0507495926619318
252,2022-04-08 00:00:00-04:00,Adidas,0.8254979643232235
253,2022-04-08 00:00:00-04:00,Budweiser,0.5156390420276386
254,2022-04-08 00:00:00-04:00,Coca-Cola,0.6924670532616212
255,2022-04-08 00:00:00-04:00,McDonalds,-0.2709785534016301
256,2022-04-11 00:00:00-04:00,Adidas,0.730419638988894
257,2022-04-11 00:00:00-04:00,Budweiser,0.4597508225705505
258,2022-04-11 00:00:00-04:00,Coca-Cola,0.6845529401050661
259,2022-04-11 00:00:00-04:00,McDonalds,-0.3476800245988828
260,2022-04-12 00:00:00-04:00,Adidas,0.6859977785792795
261,2022-04-12 00:00:00-04:00,Budweiser,0.3556811070077774
262,2022-04-12 00:00:00-04:00,Coca-Cola,0.9812859201487788
263,2022-04-12 00:00:00-04:00,McDonalds,-0.4448852545630856
264,2022-04-13 00:00:00-04:00,Adidas,0.6415756149301457
265,2022-04-13 00:00:00-04:00,Budweiser,0.4770957751643476
266,2022-04-13 00:00:00-04:00,Coca-Cola,1.048548171424983
267,2022-04-13 00:00:00-04:00,McDonalds,-0.2808516499060823
268,2022-04-14 00:00:00-04:00,Adidas,0.6649556851012945
269,2022-04-14 00:00:00-04:00,Budweiser,0.5156390420276386
270,2022-04-14 00:00:00-04:00,Coca-Cola,1.1632843068641876
271,2022-04-14 00:00:00-04:00,McDonalds,-0.3431240264863835
272,2022-04-18 00:00:00-04:00,Adidas,0.6743075918739456
273,2022-04-18 00:00:00-04:00,Budweiser,0.5040767300529333
274,2022-04-18 00:00:00-04:00,Coca-Cola,0.9338104938748688
275,2022-04-18 00:00:00-04:00,McDonalds,-0.3013565868468373
