Year,Country,Ranking World Cup Year,Ranking,Index
-4,South Africa,66,72,109.0909091
-3,South Africa,66,64,96.96969697
-2,South Africa,66,67,101.5151515
-1,South Africa,66,70,106.0606061
0,South Africa,66,66,100
1,South Africa,66,49,74.24242424
2,South Africa,66,68,103.030303
3,South Africa,66,59,89.39393939
4,South Africa,66,66,100
