Year,Country,HDI In World Cup Year,HDI,Index
-4,Germany,0.918,0.89,96.94989107
-3,Germany,0.918,0.896,97.60348584
-2,Germany,0.918,0.907,98.80174292
-1,Germany,0.918,0.908,98.91067538
0,Germany,0.918,0.918,100
1,Germany,0.918,0.921,100.3267974
2,Germany,0.918,0.924,100.6535948
3,Germany,0.918,0.924,100.6535948
4,Germany,0.918,0.927,100.9803922
