Year,Country,HDI In World Cup Year,HDI,Index
-4,South Africa,0.664,0.626,94.27710843
-3,South Africa,0.664,0.632,95.18072289
-2,South Africa,0.664,0.646,97.28915663
-1,South Africa,0.664,0.655,98.64457831
0,South Africa,0.664,0.664,100
1,South Africa,0.664,0.665,100.1506024
2,South Africa,0.664,0.675,101.6566265
3,South Africa,0.664,0.685,103.1626506
4,South Africa,0.664,0.693,104.3674699
