Country,Date,Exchange Rate ($)
Brazil,2012-12,90.03
Brazil,2013-01,92.72
Brazil,2013-02,95.87
Brazil,2013-03,96.69
Brazil,2013-04,96.19
Brazil,2013-05,95.28
Brazil,2013-06,89.71
Brazil,2013-07,86.94
Brazil,2013-08,83.43
Brazil,2013-09,85.9
Brazil,2013-10,88.96
Brazil,2013-11,86.04
Brazil,2013-12,84.93
Brazil,2014-01,84.98
Brazil,2014-02,85.82
Brazil,2014-03,88.26
Brazil,2014-04,92.23
Brazil,2014-05,92.87
Brazil,2014-06,92.82
Brazil,2014-07,93.22
Brazil,2014-08,92.13
Brazil,2014-09,91.02
Brazil,2014-10,87.84
Brazil,2014-11,85.74
Brazil,2014-12,84.75
Brazil,2015-01,87.69
Brazil,2015-02,83.3
Brazil,2015-03,76.56
Brazil,2015-04,78.86
Brazil,2015-05,78.41
Brazil,2015-06,77.76
Brazil,2015-07,76.49
Brazil,2015-08,70.93
Brazil,2015-09,64.45
Brazil,2015-10,64.77
Brazil,2015-11,68.22
Brazil,2015-12,68.03
Brazil,2016-01,67.81
Brazil,2016-02,69.41
Brazil,2016-03,73.52
Brazil,2016-04,75.48
Brazil,2016-05,76.55
Brazil,2016-06,78.96
Brazil,2016-07,83.91
Brazil,2016-08,85.36
Brazil,2016-09,84.36
Brazil,2016-10,86.64
Brazil,2016-11,84.14
Brazil,2016-12,85.06
Brazil,2017-01,89.06
Brazil,2017-02,90.7
Brazil,2017-03,89.71
Brazil,2017-04,88.74
Brazil,2017-05,86.55
Brazil,2017-06,83.45
Brazil,2017-07,85.51
Brazil,2017-08,86.09
Brazil,2017-09,85.6
Brazil,2017-10,85.09
Brazil,2017-11,83.48
Brazil,2017-12,82.26
Brazil,2018-01,83.45
Brazil,2018-02,81.8
Brazil,2018-03,81.12
Brazil,2018-04,78.14
Brazil,2018-05,75.7
Brazil,2018-06,74.91
Brazil,2018-07,74.7
Brazil,2018-08,73.49
Brazil,2018-09,71.42
Brazil,2018-10,78.27
Brazil,2018-11,77.96
Brazil,2018-12,75.92
Brazil,2019-01,78.25
Brazil,2019-02,78.55
Brazil,2019-03,76.76
Brazil,2019-04,76.04
Brazil,2019-05,74.74
Brazil,2019-06,76.89
Brazil,2019-07,78.16
Brazil,2019-08,75.66
Brazil,2019-09,73.95
Brazil,2019-10,74.02
Brazil,2019-11,72.96
Brazil,2019-12,74.04
Brazil,2020-01,73.12
Brazil,2020-02,70.45
Brazil,2020-03,63.6
Brazil,2020-04,59.34
Brazil,2020-05,55.63
Brazil,2020-06,59.57
Brazil,2020-07,58.14
Brazil,2020-08,55.91
Brazil,2020-09,56.44
Brazil,2020-10,54.46
Brazil,2020-11,56.34
Brazil,2020-12,59.22
Brazil,2021-01,56.9
Brazil,2021-02,56.5
Brazil,2021-03,54.87
Brazil,2021-04,55.48
Brazil,2021-05,58.0
Brazil,2021-06,61.32
Brazil,2021-07,60.85
Brazil,2021-08,60.1
Brazil,2021-09,60.35
Brazil,2021-10,57.91
Brazil,2021-11,58.24
Brazil,2021-12,57.73
Brazil,2022-01,58.7
Brazil,2022-02,62.53
Brazil,2022-03,66.2
Brazil,2022-04,70.19
Brazil,2022-05,68.19
Brazil,2022-06,67.18
Brazil,2022-07,63.31
Brazil,2022-08,65.74
Brazil,2022-09,65.45
Brazil,2022-10,66.17
Germany,1994-01,113.35
Germany,1994-02,113.7
Germany,1994-03,115.2
Germany,1994-04,114.65
Germany,1994-05,115.67
Germany,1994-06,116.28
Germany,1994-07,117.81
Germany,1994-08,118.09
Germany,1994-09,117.15
Germany,1994-10,117.4
Germany,1994-11,116.88
Germany,1994-12,116.56
Germany,1995-01,117.89
Germany,1995-02,119.34
Germany,1995-03,123.37
Germany,1995-04,123.11
Germany,1995-05,121.08
Germany,1995-06,120.79
Germany,1995-07,121.43
Germany,1995-08,119.12
Germany,1995-09,118.43
Germany,1995-10,119.96
Germany,1995-11,119.54
Germany,1995-12,118.85
Germany,1996-01,117.75
Germany,1996-02,118.08
Germany,1996-03,116.91
Germany,1996-04,115.17
Germany,1996-05,113.98
Germany,1996-06,114.35
Germany,1996-07,115.33
Germany,1996-08,116.01
Germany,1996-09,114.61
Germany,1996-10,113.37
Germany,1996-11,113.4
Germany,1996-12,112.49
Germany,1997-01,111.7
Germany,1997-02,110.27
Germany,1997-03,109.81
Germany,1997-04,108.8
Germany,1997-05,108.87
Germany,1997-06,107.96
Germany,1997-07,107.25
Germany,1997-08,106.61
Germany,1997-09,107.62
Germany,1997-10,108.26
Germany,1997-11,109.06
Germany,1997-12,109.56
Germany,1998-01,109.47
Germany,1998-02,108.72
Germany,1998-03,107.78
Germany,1998-04,107.88
Germany,1998-05,109.33
Germany,1998-06,109.72
Germany,1998-07,110.11
Germany,1998-08,110.63
Germany,1998-09,112.0
Germany,1998-10,112.29
Germany,1998-11,110.92
Germany,1998-12,111.34
Germany,1999-01,110.75
Germany,1999-02,109.78
Germany,1999-03,108.67
Germany,1999-04,107.98
Germany,1999-05,107.49
Germany,1999-06,106.48
Germany,1999-07,106.85
Germany,1999-08,107.24
Germany,1999-09,105.81
Germany,1999-10,106.11
Germany,1999-11,104.79
Germany,1999-12,103.75
Germany,2000-01,103.84
Germany,2000-02,102.5
Germany,2000-03,101.19
Germany,2000-04,100.25
Germany,2000-05,99.02
Germany,2000-06,100.88
Germany,2000-07,100.94
Germany,2000-08,99.04
Germany,2000-09,97.53
Germany,2000-10,96.64
Germany,2000-11,96.8
Germany,2000-12,99.34
Germany,2001-01,100.94
Germany,2001-02,100.63
Germany,2001-03,100.41
Germany,2001-04,100.01
Germany,2001-05,98.79
Germany,2001-06,97.91
Germany,2001-07,98.86
Germany,2001-08,100.23
Germany,2001-09,100.34
Germany,2001-10,100.12
Germany,2001-11,98.91
Germany,2001-12,100.1
Germany,2002-01,99.34
Germany,2002-02,98.97
Germany,2002-03,98.95
Germany,2002-04,98.48
Germany,2002-05,99.66
Germany,2002-06,101.3
Germany,2002-07,102.75
Germany,2002-08,102.17
Germany,2002-09,101.9
Germany,2002-10,101.73
Germany,2002-11,101.6
Germany,2002-12,103.04
Germany,2003-01,104.13
Germany,2003-02,105.06
Germany,2003-03,104.98
Germany,2003-04,104.67
Germany,2003-05,106.48
Germany,2003-06,107.27
Germany,2003-07,106.68
Germany,2003-08,105.72
Germany,2003-09,105.27
Germany,2003-10,106.29
Germany,2003-11,105.93
Germany,2003-12,108.3
Germany,2004-01,108.69
Germany,2004-02,108.64
Germany,2004-03,107.41
Germany,2004-04,106.39
Germany,2004-05,106.89
Germany,2004-06,106.8
Germany,2004-07,107.18
Germany,2004-08,107.0
Germany,2004-09,106.63
Germany,2004-10,106.94
Germany,2004-11,107.48
Germany,2004-12,109.28
