Date,ADDY,BUD_,KO_z,MCD_
2021-12-10 00:00:00-05:00,1.7090045647375638,0.35653075293918224,-2.195185167485115,0.7170429709764451
2021-12-13 00:00:00-05:00,1.6293669442359613,0.3062127490572203,-1.6332955391147388,0.5679578213110639
2021-12-14 00:00:00-05:00,1.5411973934491054,0.34298311064424175,-1.6181100180497276,0.5227552356032793
2021-12-15 00:00:00-05:00,1.6514097469367426,0.36427215633045174,-1.5193996577803974,0.6813589329296079
2021-12-16 00:00:00-05:00,1.597014887164303,0.6429589512118754,-1.29540278426238,0.7630373256604457
2021-12-17 00:00:00-05:00,1.5739052473411423,0.7184370751961171,-1.6446861710290819,0.45772749701445997
2021-12-20 00:00:00-05:00,1.5138220651526966,0.4900682841966567,-1.7168203783190579,0.4601089896382348
2021-12-21 00:00:00-05:00,1.5387084757227245,0.7629488401744094,-1.6295006499640678,0.6710486162924445
2021-12-22 00:00:00-05:00,1.5948812129195442,0.8345558897425828,-1.4738416034697757,0.7146651897697462
2021-12-23 00:00:00-05:00,1.621901297734331,0.9080988492392231,-1.458654591289182,0.7947625188262026
2021-12-27 00:00:00-05:00,1.678429278412773,0.8926152970158155,-1.29540278426238,0.9763572077994048
2021-12-28 00:00:00-05:00,1.6738072397803896,0.8093965150811703,-1.2080830559073956,0.9478089876507148
2021-12-29 00:00:00-05:00,1.6905169635467867,0.8093965150811703,-1.1815069029280387,0.9961811235414142
2021-12-30 00:00:00-05:00,1.6485655857287393,0.8655215033076662,-1.2460483496855077,0.8946788150685671
2021-12-31 00:00:00-05:00,1.6834065605267787,0.8655215033076662,-1.0827980337742884,0.9628748667012759
2022-01-03 00:00:00-05:00,1.7953962381000395,1.4074122862879705,-1.0486276291468473,1.0033194157176122
2022-01-04 00:00:00-05:00,1.7562890214899953,1.3706411792600819,-0.672768089400794,0.9977720843279984
2022-01-05 00:00:00-05:00,1.7292689366752085,1.270004426055292,-0.4829431116258003,0.8930903285600336
2022-01-06 00:00:00-05:00,1.6453656277003574,1.1713028373381036,-0.6044302623770715,1.0913443316484317
2022-01-07 00:00:00-05:00,1.570705842651517,1.3261286688409237,-0.6575825683357801,0.8827849604789715
2022-01-10 00:00:00-05:00,1.5909702145891615,1.6493279741415041,-0.6196187656732451,0.6726371028009779
2022-01-11 00:00:00-05:00,1.7427792557519801,1.6880357365387244,-0.6120245140251583,0.4910349909936237
2022-01-12 00:00:00-05:00,1.7395792977235984,1.6028802992347448,-0.577857091628877,0.3958742571646569
2022-01-13 00:00:00-05:00,1.7413571751479786,1.9860734308552936,-0.44117845535027245,0.43473155681148273
2022-01-14 00:00:00-05:00,1.7242916545612028,2.268632791034516,-0.25514985784152944,0.1413180570331455
2022-01-18 00:00:00-05:00,1.6898059232447857,2.088647584870282,-0.44117845535027245,0.04377706771942925
2022-01-19 00:00:00-05:00,1.6873175588571612,1.9009202298739114,-0.4032146526877403,-0.056142939940008886
2022-01-20 00:00:00-05:00,1.6802071558371532,1.8409241672313457,-0.49812863269081425,-0.22188121802546162
2022-01-21 00:00:00-05:00,1.5927480920135417,1.7518991463930293,-0.6120245140251583,-0.1061010880611934
2022-01-24 00:00:00-05:00,1.5319538695230952,1.662874125554713,-0.7980560937650583,-0.18381816163289796
2022-01-25 00:00:00-05:00,1.388678418661799,1.664810780924046,-0.8512069086081869,-0.41616895339862514
2022-01-26 00:00:00-05:00,1.4149863564970722,1.4519247967071274,-0.934733238928083,-0.48198846096366277
2022-01-27 00:00:00-05:00,1.3605914967246329,1.4925669781510829,-0.9157483553656559,-0.5700121397554571
2022-01-28 00:00:00-05:00,1.2734887830601564,1.3164521009620516,-0.4639582280633732,0.012849829225017354
2022-01-31 00:00:00-05:00,1.417831071043832,1.353223207989939,-0.39941976353706393,0.279301121085145
2022-02-01 00:00:00-05:00,1.466537608400265,1.4693420225364044,-0.5702628399807902,0.2428228397840434
2022-02-02 00:00:00-05:00,1.551507201158739,1.5061138750051561,-0.3348768256640151,0.503723088837486
2022-02-03 00:00:00-05:00,1.469026526126646,1.0977606232823292,-0.171625018637216,0.37367132307692336
2022-02-04 00:00:00-05:00,1.494979220480297,0.9816410632949977,-0.4184001737527515,0.3276744941148721
2022-02-07 00:00:00-05:00,1.4530278426622498,1.0474418739595028,-0.1754228900190493,0.31102136569479827
2022-02-08 00:00:00-05:00,1.4409396041894798,1.1596903595307644,-0.023560223791010627,0.32926050634535486
2022-02-09 00:00:00-05:00,1.551507201158739,1.1190489235276746,-0.3880291316227236,0.3118143718100443
2022-02-10 00:00:00-05:00,1.4647602843146412,1.471277932464873,-0.25894623810778294,0.07470554335286878
2022-02-11 00:00:00-05:00,1.2514465336981315,1.2564567837603517,-0.672768089400794,-0.06089850235340885
2022-02-14 00:00:00-05:00,1.1931403989259308,1.1074364457203354,-0.5247062767857456,-0.20126305902918779
2022-02-15 00:00:00-05:00,1.3399713279666094,1.2603278581764186,-0.4373850573151786,-0.16795680218904713
2022-02-16 00:00:00-05:00,1.33890449084423,1.5757857600857297,-0.44117845535027245,-0.2250532424864295
2022-02-17 00:00:00-05:00,1.1981176810399368,1.3706411792600819,0.02199932163519089,-0.39634380051759266
2022-02-18 00:00:00-05:00,1.1799858766695381,1.3493521335738705,0.1814532572801567,-0.42251300232056316
2022-02-22 00:00:00-05:00,1.0370656692898643,1.0358301415930293,0.0827414058952467,-0.25598048098084136
2022-02-23 00:00:00-05:00,0.9080107477992061,1.2719395905428934,-0.1792192702853028,-0.6453501949814398
