Year,Country,Ranking World Cup Year,Ranking,Index
-4,Russia,49,23,46.93877551
-3,Russia,49,28,57.14285714
-2,Russia,49,38,77.55102041
-1,Russia,49,62,126.5306122
0,Russia,49,49,100
1,Russia,49,46,93.87755102
2,Russia,49,38,77.55102041
3,Russia,49,41,83.67346939
4,Russia,49,35,71.42857143
