Year,Country,HDI In World Cup Year,HDI,Index
-4,Russia,0.823,0.807,98.05589307
-3,Russia,0.823,0.809,98.29890644
-2,Russia,0.823,0.815,99.02794654
-1,Russia,0.823,0.82,99.63547995
0,Russia,0.823,0.823,100
1,Russia,0.823,0.824,100.1215067
2,Russia,0.823,0.824,100.1215067
3,Russia,0.823,0.822,99.87849332
4,Russia,0.823,0.822,99.87849332
